Token	Gold annotation	Candidates	Prediction	Gold ann in candidates?	Correct?	sent id	sent date
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
New - Hampffiire	Q759	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
Federal Court	Q194907	Q3001081 Q194907	Q194907	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-org
Senate of the United States	Q66096	Q66096	Q66096	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-org
New - Hampfttire	Q759	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-loc
JOHN SULLIVAN	Q886420	Q16029260 Q6259610 Q60693827 Q18158553 Q886420 Q6259608 Q6259632 Q949384 Q6259616 Q6259624 Q7094853 Q3396287 Q6259603 Q6259614 Q6259630	Q886420	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-pers
Dec . 29 , 1789	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83030483-1790-02-10-a-i0002	# hipe2022:date = 1790-02-10	B-time
LONDON	Q84	Q6669774 Q1785229 Q3959711 Q5273606 Q20657974 Q935090 Q28868399 Q261303 Q14710970 Q1137312 Q3836562 Q45765 Q3836563 Q10569133 Q6669769 Q6669738 Q6669771 Q1001456 Q3836565 Q23306 Q7239605 Q60578265 Q1442133 Q783669 Q6669761 Q3061911 Q750084 Q1431928 Q1749384 Q6669767 Q1449564 Q5633181 Q6669736 Q6669757 Q79348 Q6669763 Q28163686 Q5123767 Q96239426 Q16001535 Q3258936 Q3284727 Q15056579 Q1363808 Q2477346 Q24045410 Q6669759 Q1749569 Q84 Q6669754 Q92561	Q84	True	True	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
ofBruffels	Q239	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
Brufiels	Q239	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
General D ’ Alton	Q3934904	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-pers
Benden - D ’ Aloft	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-pers
Grand Pa ¬ lace	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
General D ’ Alton	Q3934904	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-pers
Bafleville	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
great market	Q215429	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
Park	Q1892311	Q715935 Q7543083 Q4846582 Q7137598 Q793559 Q6501349 Q7137600 Q156385 Q2901291 Q22698 Q26791316 Q7137585 Q219086 Q7137597 Q7137599 Q1838716 Q496644 Q18068400 Q5175720 Q3365392 Q2292274 Q10344987 Q54114 Q7137601 Q312742 Q7137582 Q750428 Q7756140 Q595452 Q3887854 Q1660943	Q22698	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
Pal ¬ ace Royale	Q635307	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
D ’ Alton	Q3934904	NIL	NIL	False	False	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-pers
Porte de Namur	Q3399071	Q3399071 NIL	Q3399071	True	True	# hipe2022:document_id = sn83030483-1790-03-03-a-i0004	# hipe2022:date = 1790-03-03	B-loc
Gazstte of the Unites States	Q1496634	NIL	NIL	False	False	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-prod
THOMAS JEFFERSON , Vise President of the Unit . ! States	Q11812	NIL	NIL	False	False	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-pers
Philad	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-loc
July 3 , 1800	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-time
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-loc
America	Q30	Q463081 Q60751010 Q338285 Q97181621 Q17511620 Q1850907 Q4749632 Q1052042 Q4742713 Q4749635 Q85772276 Q23309806 Q23467020 Q4749633 Q2842802 Q4742708 Q4742711 Q104790923 Q22251882 Q482251 Q4742716 Q4742707 Q1112443 Q828 Q4742714 Q2420785 Q4742725 Q4745665 Q4655832 Q30 Q126852 Q4742728 Q4742712 Q4742719 Q16491652 Q4742863 Q4742710 Q4742619 Q4742724 Q18762246 Q2621772 Q2842807 Q34195 Q2400442 Q4742717 Q4742709 Q7131705 Q4033897 Q1247400 Q47499411 Q4742729 Q4064165 Q4742720 Q4742723 Q463110 Q6072379 Q463147 Q20894546 Q7872812 Q2842803 Q482262 Q2844820 Q548133 Q2844832 Q1777174 Q4742727 Q2127180 Q3055389 Q482249 Q4742722	Q30	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-loc
Virginia	Q1370	Q907713 Q2207776 Q986681 Q255427 Q2611949 Q7934081 Q1027286 Q5160568 Q1278485 Q7934095 Q6680038 Q7934089 Q7934091 Q1370 Q1784907 Q7934092 Q7934090 Q1564064 Q2943247 Q6505686 Q7934082 Q678015 Q154933 Q1425173 Q1787215 Q579625 Q26996719 Q3820061 Q607350 Q7934083 Q27983961	Q1370	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-loc
America	Q30	Q463081 Q60751010 Q338285 Q97181621 Q17511620 Q1850907 Q4749632 Q1052042 Q4742713 Q4749635 Q85772276 Q23309806 Q23467020 Q4749633 Q2842802 Q4742708 Q4742711 Q104790923 Q22251882 Q482251 Q4742716 Q4742707 Q1112443 Q828 Q4742714 Q2420785 Q4742725 Q4745665 Q4655832 Q30 Q126852 Q4742728 Q4742712 Q4742719 Q16491652 Q4742863 Q4742710 Q4742619 Q4742724 Q18762246 Q2621772 Q2842807 Q34195 Q2400442 Q4742717 Q4742709 Q7131705 Q4033897 Q1247400 Q47499411 Q4742729 Q4064165 Q4742720 Q4742723 Q463110 Q6072379 Q463147 Q20894546 Q7872812 Q2842803 Q482262 Q2844820 Q548133 Q2844832 Q1777174 Q4742727 Q2127180 Q3055389 Q482249 Q4742722	Q30	True	True	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-loc
COLUMBUS	NIL	Q2170410 Q509813 Q5149990 Q60749216 Q2463946 Q4175020 Q20754773 Q5149989 Q30612286 Q106922 Q5149977 Q155935 Q5149991 Q53855527 Q1993556 Q28954096 Q961735 Q5149984 Q239870 Q975782 Q600142 Q5149988 Q2026104 Q5013344 Q5149979 Q16567 Q21427266 Q2315759 Q2984581 Q3708769 Q985648 Q5149981 Q7322 Q1112742 Q2277724 Q20982529 Q932391 Q5149987 Q1570063 Q941870 Q2232985 NIL	Q16567	True	False	# hipe2022:document_id = sn84026272-1800-07-09-a-i0003	# hipe2022:date = 1800-07-09	B-pers
District of Pennsylvania	Q7163624	NIL	NIL	False	False	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-loc
United States of America	Q30	Q1269370 Q7892550 Q166433 Q30	Q30	True	True	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-loc
Alexan ¬ der Addison	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-pers
State of Pennsylvania	Q7603789	Q1400	Q1400	False	False	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-org
Alexander Addison , President of the Courts of Common Pleas of me Fifth Cir ¬ cuit of the State of Pennlylvann	Q25184130	NIL	NIL	False	False	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-pers
Congress of the Uni ¬ ted States	Q11268	NIL	NIL	False	False	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-org
D.C * I.DWELL , Clerl of lie DiJtriEl of Peonsyl v aoisA	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-pers
Mr , Dobson Bookseller	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-10-16-a-i0001	# hipe2022:date = 1800-10-16	B-pers
Hereford street	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-12-27-a-i0002	# hipe2022:date = 1800-12-27	B-loc
Sept . 8 , 1800	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84026272-1800-12-27-a-i0002	# hipe2022:date = 1800-12-27	B-time
Fiance	Q142	Q157512 NIL	Q157512	False	False	# hipe2022:document_id = sn84026272-1800-12-27-a-i0002	# hipe2022:date = 1800-12-27	B-loc
OTTO	NIL	Q27906759 Q37489 Q153484 Q7109493 Q2915183 Q7109492 Q2791874 Q3710633 Q18029644 Q2001851 Q28451729 Q9053591 Q77650 Q60153 Q5948211	Q153484	False	False	# hipe2022:document_id = sn84026272-1800-12-27-a-i0002	# hipe2022:date = 1800-12-27	B-pers
Col . Thomas Duff , Esq .	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-pers
Newport—consisting	Q755805	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Christiana	Q11103025	Q8345620 Q5110411 Q423446 Q5110414 Q768065 Q5110412 Q5110892 Q1133883 Q1009864 Q268211 Q5110423 Q1082602	Q268211	False	False	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Turnpike road	NIL	Q2739432 Q16939396 Q191316 NIL NIL	Q16939396	True	False	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Gap Ta ¬ vern	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Lancaster	NIL	Q14683036 Q990612 Q6483074 Q320514 Q2276252 Q105278 Q2536779 Q142369 Q597323 Q6483088 Q1919987 Q6483082 Q494711 Q205905 Q3216911 Q38249820 Q6483071 Q6483070 Q495090 Q609191 Q6483093 Q203622 Q1013953 Q7373062 Q6483085 Q2427213 Q965683 Q986005 Q3661917 Q6483099 Q976739 Q730847 Q484530 Q505941 Q168052	Q320514	False	False	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
state of Delaware	Q1393	Q1393	Q1393	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
TIICWAS DUFF , Esquire	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-pers
Mrs . FIug ™ ns	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-pers
Wilmington	Q174224	Q8022722 Q8022735 Q3709202 Q8022730 Q949651 Q8022724 Q8022731 Q8022725 Q18395072 Q3322244 Q659400 Q847779 Q174224 Q18163199 Q576212 Q2480324 Q8022782 Q951858 Q370101	Q174224	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Wilmington	Q174224	Q8022722 Q8022735 Q3709202 Q8022730 Q949651 Q8022724 Q8022731 Q8022725 Q18395072 Q3322244 Q659400 Q847779 Q174224 Q18163199 Q576212 Q2480324 Q8022782 Q951858 Q370101	Q174224	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-loc
Dec . 8 th , 1 80 ! )	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-01-06-a-i0001	# hipe2022:date = 1810-01-06	B-time
SPAIN	Q29	Q1432594 Q7572848 Q4825180 Q16254367 Q2306509 Q29 Q2905661 Q7572850 Q23709427 Q42267 Q1821882 Q16390686 Q7572851 Q205583	Q29	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Captain Taylor	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-pers
Philadelphia	Q1345	Q7182605 Q138280 Q689874 Q2085762 Q7182609 Q935334 Q3471231 Q15962428 Q426337 Q7182598 Q2490406 Q496900 Q204057 Q512128 Q5406013 Q2288745 Q1345 Q659181 Q224214 Q7182599	Q1345	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Sierra Morena	Q686362	Q686362 Q14924809	Q686362	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Seville—drove	Q8717	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz—cap	Q15682	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Port Maria	Q203040	Q265115 NIL	Q265115	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Ferdinand	Q186256	Q18501 Q81661 Q3068502 Q3068696 Q18740903 Q5443792 Q12860 Q1990598 Q1512033 Q3276175 Q5443794 Q3068556 Q50922 Q2112845 Q1978632 Q1367374 Q6373973	Q12860	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-pers
Cadiz Bay	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Iliea	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Purvis	NIL	Q21449563 Q2273168	Q2273168	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-pers
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Cadiz	Q15682	Q1430781 Q2887470 Q1925015 Q1020688 Q5016510 Q81978 Q5016509 Q2318000 Q630752 Q1658253 Q2438851 Q15682 Q17070213	Q15682	True	True	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Phila ¬ delphia	Q1345	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-04-04-a-i0003	# hipe2022:date = 1810-04-04	B-loc
Messrs . 7 ? . Lee Sr	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-14-a-i0004	# hipe2022:date = 1810-04-14	B-pers
Mr . Vance	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-14-a-i0004	# hipe2022:date = 1810-04-14	B-pers
178 Market - street	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-14-a-i0004	# hipe2022:date = 1810-04-14	B-loc
George Harwcod	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-14-a-i0004	# hipe2022:date = 1810-04-14	B-pers
Market street , Baltimore	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-04-14-a-i0004	# hipe2022:date = 1810-04-14	B-loc
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-loc
Senate	Q66096	Q1254104 Q586461 Q2570643 Q2118303 Q2119267 Q3510858 Q927191 Q7449985 Q1253647 Q637846 Q264113 Q1142439 Q177147 Q2119458 Q2119404 Q389423 Q59486 Q122635 Q3055339 Q215987 Q659211 Q1127591 Q5080059 Q3510849 Q2398781 Q3510861 Q1316045 Q14759322 Q841180 Q783330 Q1149788 Q16934005 Q21022191 Q66096 Q7449995 Q3510869 Q969494 Q2571392 Q1418426 Q7450034 Q1563075 Q3510838 Q3510889 Q7449994 Q1355042 Q3510854 Q3510836 Q633872 Q3510846 Q98975 Q3510853 Q28135987 Q3510843 Q6978858 Q827490 Q2117771 Q27881014 Q3510871 Q590176 Q1207095 Q1699171 Q2118566 Q7449988 Q64744338 Q2117711 Q3510840 Q1466018 Q2993611 Q855343	Q66096	True	True	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-org
House of U Representatives of the United States oj America	Q11701	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-org
United Stares	Q30	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-loc
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-loc
United Slates	Q30	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-loc
J . B . Varnum , Speaker of the House of Representatives	Q1706673	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-pers
John Gaillard , President of the Senate , pro tem	Q1700157	NIL	NIL	False	False	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-pers
May 1 , 1810	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-time
JAMES MADISON	Q11813	Q11813 Q258943 Q6138743 Q268217	Q11813	True	True	# hipe2022:document_id = sn82014385-1810-05-30-a-i0001	# hipe2022:date = 1810-05-30	B-pers
ALEX VNDKIA BATHS	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-05-25-a-i0003	# hipe2022:date = 1820-05-25	B-loc
Mrs . M . Garner	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-05-25-a-i0003	# hipe2022:date = 1820-05-25	B-pers
Tho ¬ mas Shields	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-05-25-a-i0003	# hipe2022:date = 1820-05-25	B-pers
Alexandria	Q88	Q1022942 Q961844 Q985351 Q22341297 Q3095610 Q538210 Q474573 Q2222666 Q4720988 Q2915846 Q29943 Q521651 Q4720930 Q156734 Q5016719 Q20899021 Q4720998 Q269633 Q994509 Q1030219 Q5355027 Q4595336 Q4720932 Q88 Q1240659 Q2472495 Q4720931 Q994809 Q1130791 Q170838 Q6088 Q87 Q209929 Q2414602 Q623073 Q4720569 Q3300252	Q87	True	False	# hipe2022:document_id = sn83026170-1820-05-25-a-i0003	# hipe2022:date = 1820-05-25	B-loc
IRELAXD	Q57695350	NIL	NIL	False	False	# hipe2022:document_id = sn83026170-1820-06-07-a-i0002	# hipe2022:date = 1820-06-07	B-loc
Cork papers	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-06-07-a-i0002	# hipe2022:date = 1820-06-07	B-prod
CharTevillc	Q1066722	NIL	NIL	False	False	# hipe2022:document_id = sn83026170-1820-06-07-a-i0002	# hipe2022:date = 1820-06-07	B-loc
THE AMERICA * FARMER	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-prod
AMERICAN FARMER	NIL	Q4743740	Q4743740	False	False	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-prod
2d of April 1819	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-time
American Farmer	NIL	Q4743740	Q4743740	False	False	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-prod
Baltimore	Q5092	Q4852767 Q4852770 Q7562056 Q488668 Q1493988 Q4852760 Q16208590 Q3475794 Q4852773 Q2700425 Q1889293 Q21762471 Q5092 Q4852772 Q2316859 Q3374785 Q2345059 Q4852759 Q3424471 Q4852769 Q4852768 Q805740	Q5092	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-loc
Memoirs of ihe Agricultural Society of Philadelphia	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-prod
American Farmer	NIL	Q4743740	Q4743740	False	False	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-prod
Unit ; d States	Q30	NIL	NIL	False	False	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-loc
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-loc
Agricultural Soci ety	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-org
Maryland	Q1391	Q2452027 Q1395091 Q6781253 Q6781252 Q3296280 Q4281446 Q921118 Q19824786 Q870138 Q1391 Q6781256 Q783642 Q3708363	Q1391	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-loc
