Token	Gold annotation	Candidates	Prediction	Gold ann in candidates?	Correct?	sent id	sent date
Miss Wale	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-397.txt_2275	#document_date:1876	B-person
Mr. Mocre	Q315346	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1824-022.txt_3748	#document_date:1824	B-person
Mr. Bishop	Q1200639	Q611644 Q4917468 Q2296652 Q16147268 Q4917458 Q665487 Q7004498 Q2037770 Q29182 Q2296879 Q24207153 Q5131837 Q189854 Q2705093 Q4917464 Q4917463 Q992693 Q597396 Q1173602 Q852658 Q583637 Q25084820 Q134 Q1072868 Q683731 Q311358 Q866327	Q2037770	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1824-022.txt_3748	#document_date:1824	B-person
Bow	NIL	Q131916 Q301897 Q28171715 Q401865 Q4950600 Q2789540 Q1354895 Q204948 NIL Q1980288 Q3456962 Q4950607 Q2414743 Q4950596 Q122607 Q895385 Q494364 Q2304788 Q19827042 NIL NIL	Q4950600	True	False	#document_id:TheMusicalTimes__1876-397.txt_2568	#document_date:1876	B-person
Royal Academy of Music	Q1144673	Q1473756 Q1144673 NIL	Q1144673	True	True	#document_id:TheHarmonicon__1828-001.txt_1966	#document_date:1828	B-organization
Rameau	Q1145	Q1145 Q2102884	Q2102884	True	False	#document_id:TheMusicalWorld__1843-038.txt_134	#document_date:1843	B-person
St. Patrick 's day	Q181817	NIL	NIL	False	False	#document_id:TheMusicalWorld__1843-036.txt_114	#document_date:1843	B-festival
H. Lazarus	Q5724751	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_1237	#document_date:1876	B-person
J. Thomas	Q1701921	Q2669132 Q2847474 Q15229759 NIL	Q15229759	False	False	#document_id:TheMusicalTimes__1876-402.txt_1237	#document_date:1876	B-person
Batiste	Q274231	Q489636 Q3087909	Q3087909	False	False	#document_id:TheMusicalTimes__1876-402.txt_2212	#document_date:1876	B-person
Andante in G	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-402.txt_2212	#document_date:1876	B-music
Lefébure - Wély	Q546919	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_2212	#document_date:1876	B-person
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:TheMusicalTimes__1876-402.txt_2212	#document_date:1876	B-person
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:DwightSJournalOfMusic__1875-006.txt_1216	#document_date:1875	B-person
Oedipus	NIL	Q972143 Q2909909 Q2541785 Q7078507 Q130890 Q3719198 Q7078510 Q506546 Q15044668 Q3719202	Q3719198	False	False	#document_id:DwightSJournalOfMusic__1875-006.txt_1216	#document_date:1875	B-music
Musicat Timzs	Q1757371	NIL	NIL	False	False	#document_id:TheMusicalTimes__1873-366.txt_2800	#document_date:1873	B-magazine
Earl of Cawdor	Q6224952	Q5325786	Q5325786	False	False	#document_id:TheHarmonicon__1833-005.txt_1306	#document_date:1833	B-person
Dr. Burney	Q547002	Q547002	Q547002	True	True	#document_id:TheHarmonicon__1833-005.txt_274	#document_date:1833	B-person
Jerusalem	Q1218	Q6185194 Q4898094 Q28942207 Q5865034 Q18463567 Q1852517 Q1218 Q27940563 Q1687939 Q2765144 Q5665712 Q16995361 Q6185051 Q2091539 Q6185076 Q1753338 Q192232 Q6185082 Q3708812 Q2213440 Q1687937 Q6185212 Q489607 Q914332 Q2398662 Q6185073 Q6185078 Q478463 Q1687955 Q6185054 Q55517162 Q2829275 Q55502 Q4993181 Q760138 Q6185071 Q17305712 Q14903165	Q1218	True	True	#document_id:TheHarmonicon__1824-016.txt_1702	#document_date:1824	B-city
M. Eberwein	Q215521	NIL	NIL	False	False	#document_id:TheHarmonicon__1824-016.txt_1702	#document_date:1824	B-person
Messiah	Q207732	Q6821947 Q85785025 Q112751 Q3855355 Q16238006 Q48816399 Q6821953 Q15052544 Q85785023 Q6821944 Q6821952 Q3855269 Q19363688 Q2255337 Q207732 Q51626 Q5421977 Q1542030 Q10328986 Q6821949	Q51626	True	False	#document_id:TheMusicalTimes__1876-397.txt_2175	#document_date:1876	B-music
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:TheMusicalTimes__1876-397.txt_2175	#document_date:1876	B-person
Hymn of Praise	Q210536	Q210536 NIL	Q210536	True	True	#document_id:TheMusicalTimes__1876-397.txt_2175	#document_date:1876	B-music
SPINDLER	NIL	NIL NIL NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_580	#document_date:1875	B-nan
HUSARENRITT	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_580	#document_date:1875	B-music
Weber	Q154812	Q2740047 Q764428 Q76707 Q7336817 Q7978736 NIL Q170804 Q9387 Q26754 Q535334 Q1280976 Q4018725 Q76889 Q7978742 Q16859916 Q7978737 Q63149 Q2586034 Q1409226 Q154812 NIL	Q1409226	True	False	#document_id:DwightSJournalOfMusic__1873-016.txt_337	#document_date:1873	B-person
Preciosa	NIL	Q3502967 Q17086129 Q3284750 Q2901534	Q3284750	False	False	#document_id:DwightSJournalOfMusic__1873-016.txt_337	#document_date:1873	B-music
Fall'n is thy Throne	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1824-016.txt_2329	#document_date:1824	B-music
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:TheMusicalTimes__1875-388.txt_2053	#document_date:1875	B-person
A. Hunter	Q105564139	NIL	NIL	False	False	#document_id:TheMusicalTimes__1873-366.txt_126	#document_date:1873	B-company
Kennington - road	Q6390920	NIL	NIL	False	False	#document_id:TheMusicalTimes__1873-366.txt_126	#document_date:1873	B-road
Oakley	NIL	Q483431 Q7074132 Q14712997 Q3305082 Q7074130 Q7074169 Q3056224 Q3039436 Q7074123 Q55739699 Q7074126 Q161906 Q1518180 Q950912 Q1931400 Q1520175 Q7074129 Q230935 Q7074127 Q2613349 Q7074125 Q7074128 Q14712998 Q7074122 Q2741081 Q1777793	Q7074129	False	False	#document_id:TheHarmonicon__1824-016.txt_1362	#document_date:1824	B-person
Tavistock Place	Q7689129	Q1936696 NIL	Q1936696	False	False	#document_id:TheHarmonicon__1824-016.txt_1362	#document_date:1824	B-building
James Perry	Q15047460	Q63350192 Q15047460 Q6137639	Q15047460	True	True	#document_id:TheHarmonicon__1824-016.txt_1362	#document_date:1824	B-person
Morning Chronicle	Q2381797	Q7714913 Q2381797 NIL	Q2381797	True	True	#document_id:TheHarmonicon__1824-016.txt_1362	#document_date:1824	B-newspaper
Sirletti	Q102283903	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_1289	#document_date:1828	B-person
Asioli	Q892563	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_1289	#document_date:1828	B-person
Pollini	Q1351579	Q7225695	Q7225695	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_1289	#document_date:1828	B-person
Second Concerto	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_43	#document_date:1826	B-music
Kiallmark	Q18671297	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_43	#document_date:1826	B-person
Le pas de Polichinelle	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_43	#document_date:1826	B-music
Original Instructions for the Violin , illustrated by Precepts and Examples	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_556	#document_date:1825	B-publication
T. Howell	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_556	#document_date:1825	B-person
Mr. G.	NIL	Q3755561 Q3755540	Q3755561	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_4204	#document_date:1828	B-person
Bartolomeo Felici	Q20757883	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_1246	#document_date:1828	B-person
Brooke House	NIL	Q42395824	Q42395824	False	False	#document_id:TheMusicalTimes__1875-388.txt_2060	#document_date:1875	B-nan
St. Matthew ’s Church	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_2060	#document_date:1875	B-nan
Mr. Batchelor	NIL	Q17918 Q19986525	Q17918	False	False	#document_id:TheMusicalTimes__1875-388.txt_2060	#document_date:1875	B-person
Brooke House	NIL	Q42395824	Q42395824	False	False	#document_id:TheMusicalTimes__1875-388.txt_2060	#document_date:1875	B-nan
L. Cherubini	Q20721	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_255	#document_date:1828	B-person
Almen se non possio	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_255	#document_date:1828	B-music
Metastasio	Q29473	Q29473 NIL	Q29473	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_255	#document_date:1828	B-person
Royal Academy of Music	Q1144673	Q1473756 Q1144673 NIL	Q1144673	True	True	#document_id:TheMusicalWorld__1843-038.txt_630	#document_date:1843	B-organization
Sally in our Alley	Q104835875	Q7405341 Q18709066	Q7405341	False	False	#document_id:TheMusicalTimes__1876-402.txt_2065	#document_date:1876	B-music
Marot	Q108926	Q15248566 Q3173416	Q15248566	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_2042	#document_date:1828	B-person
Metastasio	Q29473	Q29473 NIL	Q29473	True	True	#document_id:TheHarmonicon__1833-005.txt_103	#document_date:1833	B-person
Antigono	NIL	Q18352625 Q4774778	Q18352625	False	False	#document_id:TheHarmonicon__1833-005.txt_103	#document_date:1833	B-work-of-art
Ipermestra	Q18600820	Q60793890 Q5768085 Q18600820	Q60793890	True	False	#document_id:TheHarmonicon__1833-005.txt_103	#document_date:1833	B-work-of-art
court of Dresden	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1833-005.txt_103	#document_date:1833	B-government-organization
Harmonicon	Q7738918	Q54951	Q54951	False	False	#document_id:TheHarmonicon__1833-005.txt_1930	#document_date:1833	B-publication
Mr. Duncan Finvay	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-397.txt_1810	#document_date:1876	B-person
Shaftesbury Park Lecture Hall	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-397.txt_1810	#document_date:1876	B-building
Martini	Q283651	Q3334028 Q54857991 Q273027 Q680184 Q2553569 Q1068671 Q173497	Q1068671	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_1274	#document_date:1826	B-person
Bacchanalian Song	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1828-001.txt_1842	#document_date:1828	B-music
Spontini	Q168485	Q168485 NIL	Q168485	True	True	#document_id:TheHarmonicon__1828-001.txt_1842	#document_date:1828	B-person
Danaides	Q1751750	Q724907	Q724907	False	False	#document_id:TheHarmonicon__1828-001.txt_1842	#document_date:1828	B-opera
Vienna	Q1741	Q2523320 Q2224889 Q3447534 Q1028144 Q2287208 Q25183367 Q755083 Q9304410 Q13425379 Q3708598 Q7928297 Q603409 Q2297508 Q2844887 Q577544 Q7928301 Q749045 Q32999 Q1741 Q2892259 Q7928293 Q7928300 Q7394505 Q952461 Q784979 Q1002926 Q47814191	Q2892259	True	False	#document_id:TheMusicalWorld__1844-006.txt_405	#document_date:1844	B-city
America	Q30	Q463081 Q60751010 Q338285 Q97181621 Q17511620 Q1850907 Q4749632 Q1052042 Q4742713 Q4749635 Q85772276 Q23309806 Q23467020 Q4749633 Q2842802 Q4742708 Q4742711 Q104790923 Q22251882 Q482251 Q4742716 Q4742707 Q1112443 Q828 Q4742714 Q2420785 Q4742725 Q4745665 Q4655832 Q30 Q126852 Q4742728 Q4742712 Q4742719 Q16491652 Q4742863 Q4742710 Q4742619 Q4742724 Q18762246 Q2621772 Q2842807 Q34195 Q2400442 Q4742717 Q4742709 Q7131705 Q4033897 Q1247400 Q47499411 Q4742729 Q4064165 Q4742720 Q4742723 Q463110 Q6072379 Q463147 Q20894546 Q7872812 Q2842803 Q482262 Q2844820 Q548133 Q2844832 Q1777174 Q4742727 Q2127180 Q3055389 Q482249 Q4742722	Q2621772	True	False	#document_id:TheHarmonicon__1833-005.txt_1899	#document_date:1833	B-country
H. Hagemeyer	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-402.txt_868	#document_date:1876	B-person
12th Regiment	NIL	NIL NIL	NIL	True	True	#document_id:TheMusicalTimes__1876-402.txt_868	#document_date:1876	B-military
Cork Barracks	Q5147345	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_868	#document_date:1876	B-facility
Ireland	Q22890	Q2712121 Q1516444 Q302980 Q27 Q7411777 Q1521115 Q2368 Q5864976 Q6068659 Q1140152 Q11256866 Q1516442 Q163547 Q6068504 Q5306909 Q26 Q22890 Q14688494 NIL	Q27	True	False	#document_id:TheMusicalTimes__1876-402.txt_868	#document_date:1876	B-country
Carissimi	Q312686	Q312686 NIL	Q312686	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1824-022.txt_1692	#document_date:1824	B-person
Dr. Kitchiner	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1824-016.txt_1268	#document_date:1824	B-person
History of the East Indies	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_1062	#document_date:1826	B-publication
Guyon	Q2976789	NIL NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_1062	#document_date:1826	B-person
Prince Albert	Q152245	Q671431 Q7243768 Q3403304 Q560783 Q442356 Q349030 Q1076311 Q1533623 Q3608060 Q152245	Q442356	True	False	#document_id:TheMusicalWorld__1844-006.txt_932	#document_date:1844	B-person
Die Elfen Walzer	NIL	NIL	NIL	True	True	#document_id:TheMusicalWorld__1844-006.txt_932	#document_date:1844	B-music
Grisias	Q287344	NIL	NIL	False	False	#document_id:TheMusicalWorld__1843-036.txt_391	#document_date:1843	B-persona
Pasquale	Q723941	Q18204128 Q5293057	Q18204128	False	False	#document_id:TheMusicalWorld__1843-036.txt_391	#document_date:1843	B-work-of-art
Il Barbiere di Seviglia	Q208659	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1824-022.txt_576	#document_date:1824	B-opera
Antigone of Sophocles	Q241077	Q30133264	Q30133264	False	False	#document_id:TheMusicalTimes__1876-397.txt_2296	#document_date:1876	B-work-of-art
Mendelssohn	Q46096	Q16225590 Q41783627 Q48796795 Q46096	Q41783627	True	False	#document_id:TheMusicalTimes__1876-397.txt_2296	#document_date:1876	B-person
Theatre Royal	Q7777436	Q7777438 Q7777426 Q7777436 Q1756626 Q70226638 Q5595137 Q7777441 Q3832406 Q20754846 Q21061522 Q7012095 Q7777434 Q7777423 Q28942849 Q7777427 Q7777444 Q7777439 Q3523488 Q7777435 Q7777430 Q7777421 Q26605399 Q85808931	Q7777435	True	False	#document_id:TheMusicalTimes__1876-397.txt_2296	#document_date:1876	B-building
Sabadini	Q3638803	NIL NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1373	#document_date:1825	B-person
La Divina Sapienza	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1373	#document_date:1825	B-music
British Museum	Q6373	Q309388 Q6373	Q6373	True	True	#document_id:TheHarmonicon__1832-012.txt_34	#document_date:1832	B-museum
Sir Thomas Gladstone	Q7529140	Q7529140	Q7529140	True	True	#document_id:TheMusicalTimes__1873-366.txt_1521	#document_date:1873	B-person
Metastasio	Q29473	Q29473 NIL	Q29473	True	True	#document_id:TheHarmonicon__1833-005.txt_111	#document_date:1833	B-person
Il Trionfo di Clelia	Q18748077	Q3500517 Q18748077 Q18351031	Q18748077	True	True	#document_id:TheHarmonicon__1833-005.txt_111	#document_date:1833	B-opera
24th Psalm	Q1628536	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_2623	#document_date:1876	B-publication
W. T. Freemantle	Q8019310	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-402.txt_2623	#document_date:1876	B-person
Admiralty	Q396266	Q353135 Q3267849 Q396266 Q15167 Q3270129 Q359185	Q353135	True	False	#document_id:TheHarmonicon__1824-016.txt_508	#document_date:1824	B-government-organization
Mr. Viotti	Q313188	Q313188 NIL	Q313188	True	True	#document_id:TheHarmonicon__1824-016.txt_83	#document_date:1824	B-person
Italy	Q38	Q977238 Q38 Q913582 Q838931 Q48742118 Q18087879 Q1125341 Q3708720 Q2604149 Q3677229 Q153660 Q172579 Q223936	Q913582	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1824-022.txt_1442	#document_date:1824	B-country
Baltimore	Q5092	Q4852767 Q4852770 Q7562056 Q488668 Q1493988 Q4852760 Q16208590 Q3475794 Q4852773 Q2700425 Q1889293 Q21762471 Q5092 Q4852772 Q2316859 Q3374785 Q2345059 Q4852759 Q3424471 Q4852769 Q4852768 Q805740	Q5092	True	True	#document_id:DwightSJournalOfMusic__1868-012.txt_1064	#document_date:1868	B-city
London	Q84	Q6669774 Q1785229 Q3959711 Q5273606 Q20657974 Q935090 Q28868399 Q261303 Q14710970 Q1137312 Q3836562 Q45765 Q3836563 Q10569133 Q6669769 Q6669738 Q6669771 Q1001456 Q3836565 Q23306 Q7239605 Q60578265 Q1442133 Q783669 Q6669761 Q3061911 Q750084 Q1431928 Q1749384 Q6669767 Q1449564 Q5633181 Q6669736 Q6669757 Q79348 Q6669763 Q28163686 Q5123767 Q96239426 Q16001535 Q3258936 Q3284727 Q15056579 Q1363808 Q2477346 Q24045410 Q6669759 Q1749569 Q84 Q6669754 Q92561	Q84	True	True	#document_id:TheMusicalTimes__1873-366.txt_809	#document_date:1873	B-city
Moscow	Q649	Q1949024 Q1538326 Q6915436 Q1885744 Q3887555 Q175117 Q4304438 Q2670838 Q6915432 Q1697 Q6915440 Q9035274 Q2380475 Q3450448 Q1186607 Q499927 Q4303718 Q6915450 Q6915443 Q1023006 Q649 Q1519358 Q6915447 Q6915435 Q6915442	Q649	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1871	#document_date:1825	B-city
St. Petersburg	Q656	Q7591479 Q49236 Q690122 Q7591481 Q1187352 Q656 Q7440182	Q656	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1871	#document_date:1825	B-city
Mr. Mash	NIL	Q3350076 Q1934870 Q636056 Q8046857 Q494244 Q1184820 Q2471116 Q20015996 Q494085 Q6714511	Q1184820	False	False	#document_id:TheHarmonicon__1832-012.txt_487	#document_date:1832	B-person
Carl Maria Freyherr Von Weber	Q154812	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_3568	#document_date:1826	B-person
Cantate Domino	Q1326476	Q1326476 Q2936612 NIL	Q2936612	True	False	#document_id:TheMusicalTimes__1873-366.txt_2149	#document_date:1873	B-music
Deus Misereatur	Q1689664	Q1689664 NIL	Q1689664	True	True	#document_id:TheMusicalTimes__1873-366.txt_2149	#document_date:1873	B-music
Arthur Sullivan	Q212692	Q212692 Q18810221 Q4800390	Q212692	True	True	#document_id:TheMusicalTimes__1876-402.txt_1166	#document_date:1876	B-person
Eaton Faning	Q5331349	Q5331349 NIL	Q5331349	True	True	#document_id:TheMusicalTimes__1876-402.txt_1166	#document_date:1876	B-person
District Musical Society	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_2263	#document_date:1875	B-organization
Public Hall	NIL	Q39086937 Q367885 Q1435490 Q7257321	Q367885	False	False	#document_id:TheMusicalTimes__1875-388.txt_2263	#document_date:1875	B-building
Signor Liverati	Q3767573	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_2268	#document_date:1828	B-person
Jarnowick	Q1526160	NIL	NIL	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1821	#document_date:1825	B-person
M. Joachim Hoffman	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1833-005.txt_1679	#document_date:1833	B-person
Antient Concert Rooms	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1875-388.txt_2104	#document_date:1875	B-building
Musical Society	NIL	NIL	NIL	True	True	#document_id:TheMusicalTimes__1873-366.txt_2039	#document_date:1873	B-organization
Cambridge	Q350	Q16962385 Q1028261 Q1072690 Q3250639 Q5025323 Q988567 Q1028276 Q3450679 Q2415104 Q1000191 Q5159619 Q49111 Q5025332 Q965079 Q1000196 Q1028267 Q5025343 Q5025320 Q1028279 Q35794 Q2934691 Q11151861 Q755862 Q2594158 Q350 Q18509 Q249454 Q576477 Q16247016 Q30602349 Q512012 Q5025418	Q350	True	True	#document_id:TheMusicalTimes__1873-366.txt_2039	#document_date:1873	B-city
M. Schénche	NIL	NIL	NIL	True	True	#document_id:TheHarmonicon__1833-005.txt_1715	#document_date:1833	B-person
Qui est Rex Gloriosus	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_208	#document_date:1828	B-music
Thomas Attwood	Q2422110	Q4533139 Q2422110	Q4533139	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_208	#document_date:1828	B-person
Cambridge	Q350	Q16962385 Q1028261 Q1072690 Q3250639 Q5025323 Q988567 Q1028276 Q3450679 Q2415104 Q1000191 Q5159619 Q49111 Q5025332 Q965079 Q1000196 Q1028267 Q5025343 Q5025320 Q1028279 Q35794 Q2934691 Q11151861 Q755862 Q2594158 Q350 Q18509 Q249454 Q576477 Q16247016 Q30602349 Q512012 Q5025418	Q1072690	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_3170	#document_date:1826	B-city
Viscount Fitzwilliam	Q7325692	Q7935756	Q7935756	False	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_3161	#document_date:1826	B-person
University of Cambridge	Q35794	Q5025572 Q35794 NIL	Q5025572	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1826-029.txt_3161	#document_date:1826	B-university
Mr. Hall	NIL	Q2466458 Q1802963 Q492012 Q5642538 Q7547 Q496152 Q1571277 Q443131 Q940601 Q240854 Q31948 Q574969 Q5642542 Q1135449 Q10516415 Q108803 Q301276 Q106559 Q13634081 NIL Q18152605 Q38250638 Q237639 Q309675 Q823475 NIL	Q106559	True	False	#document_id:TheMusicalTimes__1876-397.txt_1978	#document_date:1876	B-person
Norwich Musical Union	Q130191	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-397.txt_2317	#document_date:1876	B-city
St. Andrew 's Hall	Q7586881	NIL	NIL	False	False	#document_id:TheMusicalTimes__1876-397.txt_2317	#document_date:1876	B-building
institution degli Orfanelli	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1828-037.txt_948	#document_date:1828	B-institution
St. Petersburg	Q656	Q7591479 Q49236 Q690122 Q7591481 Q1187352 Q656 Q7440182	Q1187352	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1869	#document_date:1825	B-city
Miss Rainforth	Q17355767	NIL	NIL	False	False	#document_id:TheMusicalWorld__1844-006.txt_464	#document_date:1844	B-person
La Cascina	NIL	NIL	NIL	True	True	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1453	#document_date:1825	B-opera
Statira	NIL	Q453117 NIL NIL	Q453117	True	False	#document_id:TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1453	#document_date:1825	B-opera
